State,Total drivers,Population/State,Accidents,Density,accidents/100K,drivers/100K
Alabama,3881542.0,4888949,132,96.9221,2.6999668026809034,79394.20108493665
Arizona,4881801.0,7123898,2733,64.955,38.36382834229238,68527.10412192874
Arkansas,2111873.0,3020327,26,58.403,0.8608339428148011,69921.99851208164
California,24813346.0,39776830,138230,256.3727,347.5138667410148,62381.40646200313
Colorado,3883362.0,5684203,1320,56.4011,23.22225297020532,68318.49601430491
Connecticut,2542588.0,3588683,4149,735.8689,115.61344370622872,70850.1698255321
Delaware,732349.0,971180,279,504.3073,28.727939207973808,75408.16326530612
District of Columbia,419896.0,703608,316,11814.541000000001,44.91137110436493,59677.54772543803
Florida,13898347.0,21312211,36575,410.1256,171.61523034846078,65213.06963411727
Georgia,6650434.0,10545138,13107,186.6719,124.29424821182994,63066.3534227812
Idaho,1128497.0,1753860,392,22.0969,22.350700740081876,64343.61921704127
Illinois,8373565.0,12768320,17059,228.0243,133.60410766647453,65580.7890153129
Indiana,4448099.0,6699629,1590,188.28099999999998,23.732657435210218,66393.2137137743
Iowa,2227950.0,3160553,1759,56.9284,55.654817368985746,70492.41066357691
Kansas,2021271.0,2918515,444,35.5968,15.213216310349612,69256.83095683936
Kentucky,3004919.0,4472265,1059,113.9566,23.679276608161636,67190.09271588334
Louisiana,3312630.0,4682509,848,107.5175,18.109949174683916,70744.76525298723
Maine,1018918.0,1341582,129,43.6336,9.61551362495919,75948.99156369122
Maryland,4142997.0,6079602,5831,626.6731,95.91088364008039,68145.85889010498
Massachusetts,4765586.0,6895917,4655,894.4355,67.50371270419873,69107.3572956287
Michigan,7046433.0,9991177,16599,177.6655,166.1365823065691,70526.55557998823
Minnesota,3357468.0,5628162,2558,71.5922,45.450006591850055,59654.78605626491
Mississippi,1977679.0,2982785,394,63.7056,13.209131734268476,66303.10263730037
Missouri,4295224.0,6135888,3667,89.7453,59.7631508267426,70001.6688700967
Montana,768703.0,1062330,62,7.4668,5.836227914113317,72360.09526230079
Nebraska,1383693.0,1932549,5782,25.4161,299.19034394470725,71599.37471184431
Nevada,1796443.0,3056824,1348,28.5993,44.09805733009162,58768.28368267195
New Hampshire,1071963.0,1350575,310,153.1605,22.95318660570498,79370.86055939137
New Jersey,6152634.0,9032872,7526,1215.1991,83.31790819132608,68113.81806362362
New Mexico,1444857.0,2090708,153,17.285,7.3180951141909825,69108.50295689308
New York,11318198.0,19862512,19803,412.5211,99.7003802942951,56982.71195506389
North Carolina,7025333.0,10390149,6112,218.2702,58.82495044103795,67615.32486204
North Dakota,527541.0,755238,3,11.0393,0.3972257751861003,69850.96088915017
Ohio,7915907.0,11694664,11253,287.5038,96.22337161632007,67688.19523160307
Oklahoma,2451972.0,3940521,548,57.6547,13.906790498007751,62224.56370616982
Oregon,2785446.0,4199563,971,44.8086,23.121453351217735,66327.04402815245
Pennsylvania,8915641.0,12823989,20881,286.5449,162.82765058516503,69523.14915429201
Rhode Island,748337.0,1061712,1358,1021.4323,127.90662627906626,70483.99189233991
South Carolina,3617535.0,5088916,2928,173.3174,57.5368113759394,71086.55360002012
South Dakota,609908.0,877790,8,11.9116,0.9113797149659941,69482.22239943495
Tennessee,4613166.0,6782564,1686,167.2748,24.85785611459029,68015.07512498224
Texas,15648733.0,28704330,48878,112.8204,170.28092974126204,54516.977055378055
Utah,1425703.0,3159345,927,39.943000000000005,29.341524904687525,45126.53730440961
Vermont,545312.0,623960,16,68.1416,2.5642669401884737,87395.34585550356
Virginia,5769063.0,8525660,6334,218.4403,74.29336848994681,67667.05451542755
Washington,5401139.0,7530552,9254,117.3272,122.88607793957203,71723.01578954638
West Virginia,1171906.75,1803077,423,73.9691,23.459896610072672,64994.82551216614
Wisconsin,4188194.0,5818049,1550,108.0497,26.641233169400945,71986.22768560388
Wyoming,423987.0,573720,68,5.84,11.852471588928397,73901.38046433801
